,Verb,Data wrangling operation
1,`filter()`,Pick out a subset of rows
2,`summarize()`,"Summarize many values to one using a summary statistic function like `mean()`, `median()`, etc."
3,`group_by()`,Add grouping structure to rows in data frame. Note this does not change values in data frame.
4,`mutate()`,Create new variables by mutating existing ones
5,`arrange()`,Arrange rows of a data variable in ascending (default) or `desc`ending order
6,`inner_join()`,"Join/merge two data frames, matching rows by a key variable"
7,`select()`,Pick out a subset of columns to make data frames easier to view
